0 8432 6324 1054 527
1 6356 4580 2619 2782
2 6362 4461 2693 2821
3 6335 4498 2637 2867
4 6335 4513 2624 2865
5 6197 4542 2659 2939
6 6291 4588 2589 2869
7 6145 4720 2582 2890
8 6136 4670 2550 2981
9 6105 4649 2584 2999
10 6159 4697 2474 3007
11 6105 4701 2530 3001
12 6162 4653 2516 3006
13 6143 4794 2430 2970
14 6174 4685 2493 2985
15 6207 4681 2431 3018
16 6065 4624 2569 3079
17 6088 4774 2492 2983
18 5930 4719 2661 3027
19 6051 4804 2520 2962
20 6112 4776 2463 2986
21 6167 4806 2405 2959
22 6183 4800 2460 2894
23 6229 4665 2405 3038
24 6194 4715 2355 3073
25 6207 4660 2439 3031
26 6257 4655 2438 2987
27 6206 4656 2481 2994
28 6206 4589 2577 2965
29 6201 4547 2519 3070
30 6233 4673 2387 3044
31 6271 4656 2383 3027
32 6475 4410 2361 3091
33 6479 4458 2324 3076
34 6480 4431 2384 3042
35 6475 4420 2315 3127
36 6308 4467 2411 3151
37 6391 4527 2314 3105
38 6426 4429 2392 3090
39 6432 4382 2370 3153
40 6481 4421 2372 3063
41 6596 4328 2374 3039
42 6584 4335 2418 3000
43 6663 4260 2451 2963
44 6620 4291 2475 2951
45 6505 4331 2505 2996
46 6596 4256 2450 3035
47 6703 4211 2383 3040
48 6670 4321 2360 2986
49 6630 4229 2360 3118
50 6554 4306 2379 3098
51 6578 4328 2402 3029
52 6634 4343 2352 3008
53 6531 4438 2348 3020
54 6464 4443 2412 3018
55 6402 4409 2346 3180
56 6552 4409 2318 3058
57 6448 4435 2362 3092
58 6484 4409 2293 3151
59 6504 4411 2331 3091
60 6604 4403 2283 3047
61 6582 4256 2369 3130
62 6694 4252 2372 3019
63 6623 4231 2459 3024
64 6677 4236 2452 2972
65 6703 4228 2481 2925
66 6724 4227 2441 2945
67 6721 4146 2431 3039
68 6728 4108 2486 3015
69 6735 4151 2451 3000
70 6715 4192 2465 2965
71 6619 4252 2468 2998
72 6783 4226 2493 2835
73 6827 4169 2560 2781
74 6733 4070 2682 2852
75 6813 4104 2670 2750
76 6793 4069 2713 2762
77 6717 4076 2685 2859
78 6740 4159 2662 2776
79 6656 4127 2677 2877
80 6663 4205 2656 2813
81 6615 4292 2703 2727
82 6441 4220 2833 2843
83 6578 4273 2777 2709
84 6538 4203 2828 2768
85 6609 4237 2696 2795
86 6553 4223 2788 2773
87 6495 4346 2739 2757
